id,text,date,likes,retweets,replies,city,category,source,clean_text,sarcasm,text_length,word_count,has_sarcasm,month,engagement_score,sentiment,sentiment_method,topic_id,topic_name
anon_neg_0241,"sanksi PPKS tidak transparan sama sekali, tidak ada kejelasan hukuman untuk pelaku #MahasiswaAman #PPKS",2024-06-04,26,1,2,Bandung,negative_sanction,synthetic,sanksi ppks transparan sama sekali kejelasan hukuman pelaku mahasiswaaman ppks,0,78,10,False,2024-06,30,NEGATIF,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0197,media sosial kampus penuh victim blaming saat ada kasus kekerasan seksual muncul #MahasiswaAman #PPKS,2024-04-25,11,9,2,Bogor,negative_blaming,synthetic,media sosial kampus penuh victim blaming saat kasus kekerasan seksual muncul mahasiswaaman ppks,0,95,13,False,2024-04,31,NETRAL,rule_based,2,Victim Blaming & Budaya Toxic
anon_pos_0000,"akhirnya ada teman yg berani share pengalaman kkerasan seksual di kampus, salut #Permendikbud #PPKS",2023-07-24,23,1,0,Yogyakarta,positive_support,synthetic,akhirnya teman berani share pengalaman kekerasan seksual kampus salut permendikbud ppks,0,87,11,False,2023-07,25,POSITIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0120,"korban pelecehan seksual kampus malah disalahkan krn pakaiannya, victim blaming parah",2022-03-27,5,1,2,Jakarta,negative_blaming,synthetic,korban pelecehan seksual kampus disalahkan pakaiannya victim blaming,0,68,8,False,2022-03,9,NEGATIF,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0131,"PPKS hanya jadi regulasi di atas kertas saja, eksekusinya tidak ada sama sekali #PPKS #KampusAman",2022-10-22,13,2,1,Bandung,negative_sanction,synthetic,ppks hanya regulasi atas kertas eksekusinya sama sekali ppks kampusaman,0,71,10,False,2022-10,18,NEGATIF,rule_based,3,Dukungan Solidaritas & Gerakan
anon_neg_0138,"dosen senior bilang korban pelecehan seksual harusnya jaga diri sendiri, gila ga sih",2022-08-30,1,2,1,Bandung,negative_blaming,synthetic,dosen senior bilang korban pelecehan seksual harusnya jaga diri sendiri,0,71,10,False,2022-08,6,NETRAL,rule_based,4,Reformasi Kebijakan & Regulasi
anon_neg_0086,"pelaku mendapat simpati sementara korban dikucilkan, ini realita kampus kita",2024-05-21,0,1,0,Jakarta,negative_blaming,synthetic,pelaku mendapat simpati sementara korban dikucilkan realita kampus,0,66,8,False,2024-05,2,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_neg_0233,rektorat kampus lebih takut heboh di medsos drpd ngasih sanksi tegas ke pelaku,2022-01-16,16,8,1,Medan,negative_sanction,synthetic,rektorat kampus takut heboh medsos daripada ngasih sanksi tegas pelaku,0,70,10,False,2022-01,33,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
anon_pos_0119,kesadaran tentang consent dan PPKS semakin meningkat di kalangan mahasiswa baru,2021-12-21,8,4,20,Jakarta,positive_support,synthetic,kesadaran tentang consent ppks semakin meningkat kalangan mahasiswa baru,0,72,9,False,2021-12,36,NETRAL,rule_based,2,Victim Blaming & Budaya Toxic
anon_neg_0136,mahasiswi takut melapor kkerasan seksual di kampus karena takut dikeluarkan #Permendikbud #PPKS,2024-04-03,0,4,1,Bandung,negative_fear,synthetic,mahasiswi takut melapor kekerasan seksual kampus takut dikeluarkan permendikbud ppks,0,84,10,False,2024-04,9,NEGATIF,rule_based,0,Ketakutan Melapor & Intimidasi
