id,text,date,likes,retweets,replies,city,category,source
anon_neg_0241,"sanksi PPKS tidak transparan sama sekali, tidak ada kejelasan hukuman untuk pelaku #MahasiswaAman #PPKS",2024-06-04,26,1,2,Bandung,negative_sanction,synthetic
anon_neg_0197,media sosial kampus penuh victim blaming saat ada kasus kekerasan seksual muncul #MahasiswaAman #PPKS,2024-04-25,11,9,2,Bogor,negative_blaming,synthetic
anon_pos_0000,"akhirnya ada teman yg berani share pengalaman kkerasan seksual di kampus, salut #Permendikbud #PPKS",2023-07-24,23,1,0,Yogyakarta,positive_support,synthetic
anon_neg_0120,"korban pelecehan seksual kampus malah disalahkan krn pakaiannya, victim blaming parah",2022-03-27,5,1,2,Jakarta,negative_blaming,synthetic
anon_neg_0131,"PPKS hanya jadi regulasi di atas kertas saja, eksekusinya tidak ada sama sekali #PPKS #KampusAman",2022-10-22,13,2,1,Bandung,negative_sanction,synthetic
anon_neg_0138,"dosen senior bilang korban pelecehan seksual harusnya jaga diri sendiri, gila ga sih",2022-08-30,1,2,1,Bandung,negative_blaming,synthetic
anon_neg_0086,"pelaku mendapat simpati sementara korban dikucilkan, ini realita kampus kita",2024-05-21,0,1,0,Jakarta,negative_blaming,synthetic
anon_neg_0233,rektorat kampus lebih takut heboh di medsos drpd ngasih sanksi tegas ke pelaku,2022-01-16,16,8,1,Medan,negative_sanction,synthetic
anon_pos_0119,kesadaran tentang consent dan PPKS semakin meningkat di kalangan mahasiswa baru,2021-12-21,8,4,20,Jakarta,positive_support,synthetic
anon_neg_0136,mahasiswi takut melapor kkerasan seksual di kampus karena takut dikeluarkan #Permendikbud #PPKS,2024-04-03,0,4,1,Bandung,negative_fear,synthetic
anon_pos_0071,gerakan solidaritas untuk korban kekerasan seksual kampus terus berkembang #MahasiswaAman #PPKS,2023-10-05,11,4,0,Jakarta,positive_support,synthetic
anon_neg_0076,mahasiswi takut melapor kkerasan seksual di kampus karena takut dikeluarkan #PPKS #KampusAman,2023-09-30,10,1,1,Semarang,negative_fear,synthetic
anon_neg_0096,"kalo korban cerita di medsos langsung dikeroyok netizen kampus, gaslight abis",2022-11-25,28,1,3,Denpasar,negative_blaming,synthetic
anon_neu_0083,perlu regulasi yang lebih spesifik soal mekanisme sanksi dalam kasus ppks #MahasiswaAman #PPKS,2023-09-18,1,0,4,Medan,neutral_policy,synthetic
anon_neu_0048,implementasi ppks harus jadi syarat akreditasi perguruan tinggi oleh ban pt,2023-05-22,94,10,10,Jakarta,neutral_policy,synthetic
anon_neu_0009,anggaran satgas ppks di banyak kampus masih sangat minim perlu ditingkatkan #StopKekerasanSeksual,2022-01-30,6,3,5,Bandung,neutral_policy,synthetic
anon_neg_0000,sudah lapor ke satgas ppks tapi pelaku dosen masih ngajar biasa aja ga ada sanksi #StopKekerasanSeksual,2023-04-04,1,8,1,Denpasar,negative_sanction,synthetic
anon_pos_0143,komunitas kampus aman sangat membantu korban yg tidak tau harus kemana melapor,2023-10-22,9,3,3,Denpasar,positive_support,synthetic
anon_pos_0021,kampus gw akhirnya pecat dosen predator setelah mahasiswi berani lapor bareng #MahasiswaAman #PPKS,2022-10-03,33,3,1,Jakarta,positive_support,synthetic
anon_neg_0039,tidak ada transparansi sama sekali soal proses penanganan kasus pelecehan seksual #MahasiswaAman #PPKS,2024-02-02,3,6,1,Bandung,negative_sanction,synthetic
anon_neg_0009,"victim blaming paling parah itu justru dari sesama mahasiswi, internalized misogyny #MahasiswaAman #PPKS",2023-02-25,19,9,4,Bandung,negative_blaming,synthetic
anon_neg_0174,korban pelecehan seksual kampus dipaksa tanda tangan perjanjian bungkam wtf,2022-01-09,3,1,2,Yogyakarta,negative_fear,synthetic
